video_id,channel_name,title,subscribers,published_date,views,likes,comments,duration,tags,thumbnail
_UK1uAUi_Uw,Xylem SSLC,SSLC Hindi: ഇത് നിങ്ങൾ തെറ്റിക്കരുത്!,,2026-01-31T13:45:08Z,19099,816,4,PT1M13S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/_UK1uAUi_Uw/hqdefault.jpg
zgdoQu23qyw,Xylem SSLC,SSLC വിദ്യാർത്ഥികൾക്ക് ഇതാ ഒരു കിടിലൻ ഫ്രീ റിവിഷൻ ക്ലാസ്..,,2026-01-31T13:22:16Z,10882,267,8,PT46S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/zgdoQu23qyw/hqdefault.jpg
csQEZkNlb2Q,Xylem SSLC,"SSLC IT Chapter 6: The World of Robots | LED, Buzzer | Practical | Xylem SSLC",,2026-01-31T12:58:26Z,95685,3945,299,PT23M34S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/csQEZkNlb2Q/hqdefault.jpg
vuWr2ffmikg,Xylem SSLC,SSLC Hindi | 4 മാർക്കിന്റ 2 പ്രധാന ചോദ്യങ്ങൾ..? | Xylem SSLC,,2026-01-31T12:01:44Z,2071,96,7,PT8M57S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/vuWr2ffmikg/hqdefault.jpg
-_wDoIsKKTs,Xylem SSLC,SSLC IT MegaMarathon Live,,2026-01-31T10:29:16Z,33946,1306,17,PT27S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/-_wDoIsKKTs/hqdefault.jpg
o5lsmkpPSlA,Xylem SSLC,+2 വിനു ശേഷം നിങ്ങൾ എന്ത് ചെയ്യണം.?,,2026-01-30T13:14:12Z,7492,137,2,PT59S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/o5lsmkpPSlA/hqdefault.jpg
NFGuG6ihvi0,Xylem SSLC,Scientist ആവാൻ എന്താണ് ചെയ്യണം? Crack Future @Plus Two | Xylem SSLC,,2026-01-30T13:00:51Z,1603,81,5,PT7M12S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/NFGuG6ihvi0/hqdefault.jpg
3zxSJ89jTv8,Xylem SSLC,കുറഞ്ഞ സമയം കൊണ്ട് എങ്ങനെ പഠിക്കാം.,,2026-01-30T12:30:11Z,29827,1004,11,PT37S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/3zxSJ89jTv8/hqdefault.jpg
Ywf1cM5YIYw,Xylem SSLC,പത്താം ക്ലാസ് വിദ്യാർഥിയാണോ നിങ്ങൾ ..?,,2026-01-30T12:15:17Z,8511,160,5,PT47S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/Ywf1cM5YIYw/hqdefault.jpg
jr--yEH7Lbs,Xylem SSLC,SSLC Physics | Fixed Pulley | Movable Pulley | ഇത് മാത്രം പഠിച്ചാൽ മതി | Xylem SSLC,,2026-01-30T12:01:30Z,3449,164,12,PT12M1S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/jr--yEH7Lbs/hqdefault.jpg
mke8_ShD5hU,Xylem SSLC,SSLC Physics 2026 | Chapter 6: Electromagnetic Induction in Daily Life | Full Chapter Revision,,2026-01-29T17:58:10Z,24122,1258,80,PT2H50M55S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC Physics', 'SSLC Physics 2026', 'SSLC Physics Chapter 6', 'Electromagnetic Induction SSLC', 'Electromagnetic Induction in Daily Life', 'SSLC Physics full chapter revision', 'SSLC Physics exam preparation', 'SSLC Physics important questions', 'SSLC Physics revision class', 'SSLC Physics public exam 2026', 'SSLC Physics Chapter 6 explanation', 'Electromagnetic Induction in Daily Life pyqs', 'physics public exam model questions']",https://i.ytimg.com/vi/mke8_ShD5hU/hqdefault.jpg
EygKcrRLP1A,Xylem SSLC,SSLC IT 2026 | All Chapters Practical Model Questions | Oneshot | Xylem SSLC,,2026-01-29T14:45:01Z,186510,6614,456,PT3H23M22S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/EygKcrRLP1A/hqdefault.jpg
siCvQelldQ4,Xylem SSLC,സൈലം നടത്തുന്ന Model Exam | നിങ്ങൾക്കും പങ്കെടുക്കാം | Xylem SSLC,,2026-01-29T14:30:51Z,8019,368,39,PT1M5S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/siCvQelldQ4/hqdefault.jpg
HsZpF4yvMxY,Xylem SSLC,പഠിക്കാനുള്ള മൂഡ് ഇല്ലേ? കട്ട Motivation 🔥 | Xylem SSLC,,2026-01-29T14:00:35Z,49648,4800,500,PT5M55S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/HsZpF4yvMxY/hqdefault.jpg
x1_sJcrAZts,Xylem SSLC,Last Chapter ലെ Equations പഠിക്കാം..,,2026-01-29T13:39:12Z,40540,2052,25,PT3M,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/x1_sJcrAZts/hqdefault.jpg
ccaMsiF-7mA,Xylem SSLC,ഫിസിക്സിലെ ഈ ചാപ്റ്റർ അടിപൊളി ആയി പഠിക്കാം..,,2026-01-29T06:37:30Z,12493,308,11,PT35S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/ccaMsiF-7mA/hqdefault.jpg
PeGqyzbsXg4,Xylem SSLC,SSLC Maths 2026 | Chapter 12 : Solids / Full Chapter Revision | Xylem SSLC,,2026-01-28T17:21:21Z,40835,1758,71,PT2H52M36S,"['SSLC', 'xylem sslc', 'sslc public exam 2026', 'SSLC Maths 2026', 'SSLC Maths Chapter 12', 'Solids SSLC Maths', 'Chapter 12 Solids revision', 'SSLC Maths full chapter revision', 'SSLC Maths exam preparation', 'SSLC Maths important questions', 'SSLC Maths public exam 2026', 'solids formulas SSLC Maths', 'SSLC Maths numericals Solids', 'SSLC Maths Chapter 12 explanation', 'SSLC Maths previous year questions', 'SSLC Maths model exam questions', 'Solids important questions', 'Surface area and volume problems']",https://i.ytimg.com/vi/PeGqyzbsXg4/hqdefault.jpg
ayJNM_p_iIc,Xylem SSLC,Xylem Class 10 Maths Model Exam Centres | Xylem SSLC,,2026-01-28T15:30:01Z,3125,88,22,PT1M59S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/ayJNM_p_iIc/hqdefault.jpg
amnql3irwBU,Xylem SSLC,SSLC വിദ്യാർത്ഥികൾ മാത്രം കാണുക! | Xylem SSLC,,2026-01-28T14:30:01Z,12131,665,52,PT3M11S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/amnql3irwBU/hqdefault.jpg
KfZofH52eyg,Xylem SSLC,SSLC IT All Chapters: 100+ | Theory Q&A | Xylem SSLC,,2026-01-28T12:30:26Z,127322,5391,327,PT2H34M4S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/KfZofH52eyg/hqdefault.jpg
WNKYkULMsD0,Xylem SSLC,ഇനി ഏതാനും ദിവസങ്ങൾ മാത്രം...,,2026-01-28T12:18:00Z,12374,343,2,PT46S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/WNKYkULMsD0/hqdefault.jpg
zJ2xLg9BsZo,Xylem SSLC,SSLC IT Theory 2026 | Exam ന് ചോദിക്കുന്ന Developers and Founders ഒറ്റ വീഡിയോയിൽ !! | Xylem SSLC,,2026-01-28T11:30:53Z,21741,936,49,PT7M45S,"['sslc', 'xylemsslc', 'sslc christmas exam', 'sslc christmas exam topics', 'sslc english', 'sslc maths', 'sslc social science', 'sslc biology', 'sslc chemistry', 'sslc physics', 'sslc malayalam', 'sslc geography', 'sslc christmas exam important questions', 'christmas exam chapter wise revision', 'exam winner sslc class', 'full chapter revision', 'sslc eduport', 'sslc it', 'sslc it public exam 2026', 'sslc public exam', 'sslc public exam time table 2026', 'sslc exam winner', 'developers and founders']",https://i.ytimg.com/vi/zJ2xLg9BsZo/hqdefault.jpg
qZ_oF60fVkk,Xylem SSLC,uses of DNA Fingerprinting !!  | Xylem SSLC,,2026-01-27T14:45:05Z,32716,1586,16,PT2M37S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC Biology', 'SSLC Biology 2026', 'SSLC Biology one shot revision', 'Biology and Technology', 'SSLC Biology chapter revision', 'SSLC Biology important questions', 'SSLC Biology exam preparation', 'SSLC Biology public exam 2026', 'SSLC Biology full chapter revision', 'SSLC Biology model exam preparation', 'SSLC Biology expected questions', 'SSLC Biology biotechnology questions', 'SSLC Biology genetics and technology', 'biology public exam model questions']",https://i.ytimg.com/vi/qZ_oF60fVkk/hqdefault.jpg
im1z8xCZoAA,Xylem SSLC,Pineal Gland ഉത്പാദിപ്പിക്കുന്ന ഹോർമോൺ ഏത് ? | Xylem SSLC,,2026-01-27T14:34:30Z,19608,631,79,PT30S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC Biology', 'SSLC Biology 2026', 'SSLC Biology one shot revision', 'Biology and Technology', 'SSLC Biology chapter revision', 'SSLC Biology important questions', 'SSLC Biology exam preparation', 'SSLC Biology public exam 2026', 'SSLC Biology full chapter revision', 'SSLC Biology model exam preparation', 'SSLC Biology expected questions', 'SSLC Biology biotechnology questions', 'SSLC Biology genetics and technology', 'biology public exam model questions']",https://i.ytimg.com/vi/im1z8xCZoAA/hqdefault.jpg
