video_id,channel_name,title,views,likes,duration,published_dates,published_time
DxY5HRcjVhc,Xylem SSLC,പാലക്കാടുള്ള പത്താം ക്ലാസ് വിദ്യാർഥിയാണോ നിങ്ങൾ,20112,356,0,2026-01-23,13:36:15
CKjDuUyVZ-A,Xylem SSLC,ഈ Video Skip ചെയ്യരുത്!,35100,822,0,2026-01-23,13:14:24
PtTAccqsSIs,Xylem SSLC,SSLC MODEL EXAM ഇനി പഠിച്ചാൽ A+ കിട്ടുമോ? | Xylem SSLC,29522,1442,4,2026-01-22,13:28:45
HHo-yb9VO6w,Xylem SSLC,പ്രോപ്പർ റിവിഷനോടുകൂടി Public Exam സെറ്റാക്കാം !,14011,273,0,2026-01-22,11:51:38
1HqZGCHMJ24,Xylem SSLC,SSLC Social Science 2026: Chapter 6 | Mass Movement for Independence | One Shot | Xylem SSLC,40233,1821,104,2026-01-21,15:43:40
acaNwDC63cQ,Xylem SSLC,NEST JAN 18 RESULT OUT !!!  | Xylem SSLC,1505,12,0,2026-01-21,14:50:12
3XVtEM21GFA,Xylem SSLC,എറണാകുളത് Free റിവിഷൻ ക്ലാസ്സുമായി സൈലം,16261,320,0,2026-01-21,13:30:06
K8rcmX75Vxg,Xylem SSLC,SSLC English 2026 | Grammar: Reported Speech | ഈ ചോദ്യങ്ങൾ ചെയ്യാൻ പറ്റുന്നുണ്ടോ? | Xylem SSLC,24578,1494,11,2026-01-21,13:18:25
qOF9yKoR2ok,Xylem SSLC,Central Government നടത്തുന്ന ഡിസൈനിംഗ് കോഴ്സുകൾ..,17791,255,2,2026-01-21,13:10:39
55nsRvKbUiA,Xylem SSLC,Tangents ലെ ഒരു കിടിലൻ ചോദ്യം പഠിക്കാം,18785,661,1,2026-01-21,11:51:02
-sp7Si3QHSI,Xylem SSLC,ഈ ചാപ്റ്റർ ഒറ്റ ലൈവിൽ സെറ്റാക്കാം,43940,970,0,2026-01-20,13:44:54
B04508cwT9Q,Xylem SSLC,SSLC Malayalam 1st | ഉലകിന്നുയിരാം ഉണർവുകൾ | Xylem SSLC,8127,306,14,2026-01-20,13:30:11
bVICVWGfaDc,Xylem SSLC,SSLC Public Exam ഇനിയുള്ളത് 35 ദിവസം മാത്രം A+ നേടാൻ പറ്റുമോ? | Xylem SSLC,30834,1625,5,2026-01-20,12:31:00
Ad-QLcAZhCo,Xylem SSLC,SSLC Malayalam 1st: ഉലകിന്നുയിരാം ഉണർവുകൾ,28743,375,3,2026-01-20,12:30:16
jQW-8oM1zwU,Xylem SSLC,സുകുമാരൻ ചലിഗദ്ധ -കെത്തളു : Part 3,26883,771,1,2026-01-20,11:30:42
Yo-QgvnHkzw,Xylem SSLC,Trigonometry: 5 Mark നഷ്ടപ്പെടുത്തരുത് !,21579,549,1,2026-01-20,11:29:58
zqaFi1E-WLY,Xylem SSLC,SSLC Maths 2026 | Chapter 13 : Statistics / One Shot Revision | Xylem SSLC,85569,3326,93,2026-01-19,16:29:50
aMT5ANsLF-A,Xylem SSLC,സുകുമാരൻ ചലിഗദ്ധ -കെത്തളു : Part 2,29952,826,1,2026-01-19,12:52:11
z5NvlryhPsE,Xylem SSLC,Doctor ആവാൻ ആഗ്രഹിക്കുന്നവർക്ക് !! | Xylem SSLC,11519,222,1,2026-01-19,12:20:43
5nL4cRg_jlw,Xylem SSLC,"SSLC Social Science | 2,4,5 മാർക്കിന്‌ എത്ര പേജ് എഴുതണം | Xylem SSLC",16117,810,8,2026-01-18,14:00:17
XKwZFhGPK3I,Xylem SSLC,സുകുമാരൻ ചലിഗദ്ധ -കെത്തളു | Part 1,30483,1282,2,2026-01-18,13:03:42
F5ibbfqnc7U,Xylem SSLC,SSLC Maths 2026: Geometry and Algebra | A+ Questions | Xylem SSLC,25124,884,18,2026-01-18,13:00:32
cqFDqGGxRdU,Xylem SSLC,NEST എക്‌സാം കാഴ്ചകൾ,14911,218,0,2026-01-18,12:34:40
I0rE7aq67hM,Xylem SSLC,MATHS എക്‌സാമിന് ഈ ചോദ്യം പഠിക്കാതെ പോവരുത്,17560,625,1,2026-01-18,10:30:10
vGKzKbrZIcI,Xylem SSLC,NEST എക്സാം എഴുതുന്നവർക്ക് ഒരു സന്തോഷവർത്ത കൂടി..,8064,97,0,2026-01-17,15:08:12
qB23uLOJPEQ,Xylem SSLC,SSLC Public Exam 2026 | Study Plan and Giveaway Winners Announcement📣 | Xylem SSLC,23056,1180,17,2026-01-17,14:15:47
t-o_cKJ-9BM,Xylem SSLC,NEST Exam എഴുതുന്നവർ ശ്രദ്ധിക്കേണ്ടത്! | Xylem SSLC,1295,26,0,2026-01-17,14:01:34
IL10yeKCCJk,Xylem SSLC,സൈലം സ്കൂളിൽ പഠിക്കാനുള്ള അവസാന അവസരം..!,10083,147,0,2026-01-17,13:20:16
sJN4Cf8yMvU,Xylem SSLC,SSLC Malayalam: എന്റെ ഭാഷ | Xylem SSLC,29300,1044,27,2026-01-17,13:01:40
-iTWerci9H8,Xylem SSLC,SSLC Malayalam: എന്റെ ഭാഷ,21575,456,2,2026-01-17,13:00:02
A5dlltU51qE,Xylem SSLC,NEST 26 Exam Centres | January 18th | Xylem SSLC,1115,16,3,2026-01-17,05:16:09
CgcZPKQ5HZ0,Xylem SSLC,നിങ്ങൾക്കും സൈലം സ്കൂളിൽ 100% ഫ്രീയായി പഠിക്കാം..,7921,128,0,2026-01-16,14:37:11
flV3OQ8fmIo,Xylem SSLC,SSLC Hindi | परी लड़की | Xylem SSLC,21626,931,22,2026-01-16,13:30:48
RnAp8AK9G-0,Xylem SSLC,Answer Paper കളയരുത് 🛑 | Xylem SSLC,9857,415,3,2026-01-16,12:30:42
qEt-Z2bwa44,Xylem SSLC,A+ Question - Don't Miss It,34443,1924,2,2026-01-16,11:54:31
so5boJokkY0,Xylem SSLC,Fungal Disease: എളുപ്പത്തിൽ പഠിക്കാം..,29633,792,2,2026-01-15,13:03:21
fB5FZondg_g,Xylem SSLC,Plus Two വിന് ശേഷം എന്ത്? ഇപ്പോഴേ തയ്യാറെടുക്കാം! | Mater Talks | Episode: 6,2313,83,21,2026-01-15,12:31:07
y15hYumDtmc,Xylem SSLC,ഈ 2 മാസം നന്നായി പഠിക്കാൻ ഉള്ളതാണ്..,26567,856,2,2026-01-15,12:09:28
18FHPPEeZos,Xylem SSLC,SSLC PHYSICS 2026 | CHAPTER 2: FULL CHAPTER REVISION | XYLEM SSLC,80704,3233,167,2026-01-14,17:46:46
adB5IJpp7zY,Xylem SSLC,SSLC കുട്ടികളുടെ ഏറ്റവും പ്രിയപ്പെട്ട Parents നോട്‌ നിങ്ങൾ കുറ്റക്കാരവരുത്! | Xylem SSLC,9308,487,4,2026-01-14,13:00:04
wIME77FuaCA,Xylem SSLC,Medical Allied കോഴ്സുകൾക്ക് ഇനി NEET നിർബന്ധം | Xylem SSLC,1140,20,2,2026-01-14,11:31:03
ehpx3SJG_IY,Xylem SSLC,Maths ൽ 4 മാർക്ക് ഉറപ്പ്💯,28980,1120,1,2026-01-14,11:30:43
cndJmr5VbkY,Xylem SSLC,NEST: Crack Your Future at Plus Two | Xylem SSLC,1374,32,3,2026-01-13,15:30:36
3D18TOtx6_A,Xylem SSLC,SSLC Hindi | सिला बीनती लड़कियाँ | कविता | Most Important Question | Xylem SSLC,21070,796,11,2026-01-13,14:30:03
UG14t-qgJU0,Xylem SSLC,SSLC Maths 2026: Geometry and Algebra | Equation of a Line / വരയുടെ സമവാക്യം | Part 01 | Xylem SSLC,26256,1153,22,2026-01-13,13:30:38
2XJHjm_1RfM,Xylem SSLC,Maths ലെ 2 കിടിലൻ ചോദ്യങ്ങൾ പഠിക്കാം!,21820,744,2,2026-01-13,13:30:03
Bz_ZgFqoD_8,Xylem SSLC,സൈലം സ്കൂളിൽ ഫ്രീയായി പഠിച്ച് NEET / JEE നിങ്ങൾക്കും Crack ചെയ്യാം..,7441,111,0,2026-01-13,13:02:17
AGPslMPfPfQ,Xylem SSLC,"SSLC Physics | 1st, 2nd, 3rd Order Lever സിമ്പിളായി പഠിക്കാം | Xylem SSLC",36679,1374,17,2026-01-13,12:30:13
2MXTeIBQA-s,Xylem SSLC,"1st, 2nd, 3rd Order Lever സിമ്പിളായി പഠിക്കാം",14849,564,1,2026-01-13,12:30:04
_VYh4utbujU,Xylem SSLC,SSLC IT Theory 2026 | Chapter 9: Database | നിർബദ്ധമായും പഠിച്ചിരിക്കേണ്ട ചോദ്യങ്ങൾ | Xylem SSLC,90587,2867,20,2026-01-13,12:01:18
RB3FFRh9U7Y,Xylem SSLC,SSLC IT Theory 2026 | Chapter 8: Animation | ഈ ചോദ്യങ്ങൾ എങ്കിലും പഠിച്ചിരിക്കണം | Xylem SSLC,61655,1913,7,2026-01-13,11:30:34
HCHrkpifjDM,Xylem SSLC,എന്നാണ് അടുത്ത NEST Exam,11054,209,1,2026-01-13,11:30:30
8QXnl7Ghw8g,Xylem SSLC,SSLC Practical 2026 | Chapter 7: GeoGebra | 16 മിനുട്ട് കൊണ്ട് മുഴുവൻ പഠിക്കാം | Xylem SSLC,72239,2239,16,2026-01-12,15:00:23
M5D5ps1Ou_8,Xylem SSLC,SSLC IT Practical 2026 | Chapter 3: Python | Model Questions | Xylem SSLC,151764,3978,22,2026-01-12,14:30:17
jZRT6_Xryg8,Xylem SSLC,SSLC IT Theory 2026 | Chapter 3: Computer Language | Part 2 | ഈ ചോദ്യങ്ങൾ മറക്കരുത്| Xylem SSLC,32631,1077,19,2026-01-12,14:01:16
99NgsysI3sY,Xylem SSLC,SSLC IT Theory 2026 | Chapter 5: Make Web look Stylish | ഇത്രയും പഠിച്ചാൽ Theory സെറ്റ് | Xylem SSLC,58515,1627,20,2026-01-12,13:30:12
K1YT8vSrrPU,Xylem SSLC,Hindi എക്‌സാമിന് ഉറപ്പായും ചോദിക്കുന്ന 3 മാർക്കിന്റ ചോദ്യം !,14052,510,2,2026-01-12,13:16:02
Nj7MThxPSK8,Xylem SSLC,SSLC IT Theory 2026 | Chapter 7: Learn Science Through Computers | ഈ ചോദ്യങ്ങൾ മറക്കല്ലെ | XylemSSLC,36931,1375,13,2026-01-12,13:01:54
k9C7OC-RIuE,Xylem SSLC,NEST EXAM JANUARY 18TH BIOLOGY SYLLABUS !! | Xylem SSLC,2210,52,3,2026-01-12,11:31:00
rW3ZCBqQUAo,Xylem SSLC,ക്രിസ്മസ് എക്സാമിന് മാർക്ക് കുറഞ്ഞവരാണോ നിങ്ങൾ ? DON'T MISS THIS VIDEO !!  | Xylem SSLC,8162,516,4,2026-01-11,14:30:46
5iUXMOipeJc,Xylem SSLC,ഇനി പഠിച്ചാൽ A+ കിട്ടുമോ ?,32734,1850,1,2026-01-11,14:00:10
6JaSOFPYM-Y,Xylem SSLC,SSLC IT THEORY | CHAPTER 6 - THE WORLD OF ROBOTS നിർബദ്ധമായും പഠിച്ചിരിക്കേണ്ട ചോദ്യങ്ങൾ ..,51711,1901,24,2026-01-11,13:30:11
zlEMVhFHHqM,Xylem SSLC,Class 10 കുട്ടികളോടും രക്ഷിതാക്കളോടും പറയാനുള്ളത്..,12586,350,0,2026-01-11,13:01:55
Tcoai7o5we8,Xylem SSLC,SSLC IT PRACTICAL 2026 | Chapter 7 - QGIS മുഴുവൻ ACTIVITIES ഒറ്റ വീഡിേയായിൽ പഠിക്കാം !! | Xylem SSLC,129409,3527,21,2026-01-11,12:30:43
ydqiFuTikQM,Xylem SSLC,XYLEM തന്ന സപ്പോർട്ടിൽ ഞാൻ വളരെ HAPPY ആണ്  !!,11485,152,0,2026-01-11,12:15:34
EwPCtjNmssc,Xylem SSLC,SSLC IT Exam 2026 | Chapter 7 Stellarium - Practical | Xylem SSLC,155695,4750,14,2026-01-11,11:30:13
7yNTJyYeb0c,Xylem SSLC,Nest Exam January 18th | Physics Syllabus | Xylem SSLC,4566,114,5,2026-01-10,14:00:13
Lw91Blzki6w,Xylem SSLC,Nest Exam January 18th | Chemistry Syllabus | Xylem SSLC,3156,106,4,2026-01-10,12:53:31
mIaEb2XXzgY,Xylem SSLC,ഈ ചിത്രങ്ങൾ മനസ്സിലാക്കി പഠിക്കാനുള്ള Trick !!,45085,2888,1,2026-01-10,11:05:22
5haw5mUSX9w,Xylem SSLC,SSLC Chemistry 2026: Chapter 1 | Full Chapter Revision | Xylem SSLC,100645,3987,162,2026-01-09,16:12:58
4UXmx3-dkfY,Xylem SSLC,Nest Exam January 18th | Maths Syllabus | Xylem SSLC,1761,54,3,2026-01-09,15:30:02
3aqtrh0oV8I,Xylem SSLC,SSLC Biology പേടിയുള്ളവർ മാത്രം കാണുക! | Xylem SSLC,12396,739,10,2026-01-09,14:45:01
gYLdFPTBXPg,Xylem SSLC,SSLC IT MODEL EXAM DATE വന്നു! വമ്പൻ പണി | Xylem SSLC,22874,937,2,2026-01-09,14:15:16
Shm-86wxkx4,Xylem SSLC,SSLC വിദ്യാർത്ഥികൾ അറിയാൻ | Xylem SSLC,1690546,846,1,2026-01-09,13:37:50
IAzHrlMTJ0c,Xylem SSLC,SSLC IT Exam 2026 | Chapter 8: Open Toonz Animation | 20 മിനുറ്റിൽ  Practical മുഴുവൻ പഠിക്കാം| Xylem,210961,5953,22,2026-01-09,12:30:33
dMQ2yYDqmfQ,Xylem SSLC,SSLC Public Exam 2026: സോഷ്യൽ സയൻസിൽ ഏതൊക്കെ ചാപ്‌റ്റേഴ്‌സ് പഠിക്കണം | Xylem SSLC,24634,1118,4,2026-01-08,15:01:24
p_-wAbdxUPA,Xylem SSLC,SSLC IT 2026 | Chapter 9: Data Base ഈ 3 കാര്യങ്ങൾ മാത്രം പഠിച്ചാൽ Practical Set | Xylem SSLC,134778,4124,35,2026-01-08,14:15:08
hetBeXGD8ig,Xylem SSLC,SSLCMaths 2026 | Chapter 1: Arithmetic Sequence | സാമാന്തര ശ്രേണികൾ | Toppers Questions | Xylem SSLC,47756,1993,23,2026-01-08,13:31:01
lRgLu4SW1To,Xylem SSLC,"""Success Doesn't Come To You, You Go to It.""",24924,1053,1,2026-01-08,13:03:02
_7d0Cn4UKK8,Xylem SSLC,SSLC IT 2026 | Chapter 6: The World of Robots | Practical Questions | 7 മാർക്ക് Questions |XylemSSLC,145735,4529,20,2026-01-08,12:30:55
eNt8oTuxZfU,Xylem SSLC,ഇനി അധികം സമയം ഇല്ല!,24073,1092,1,2026-01-08,12:01:17
3QoP7r2l24E,Xylem SSLC,XYLEM എന്റെ ലൈഫിലെ നല്ലൊരു തീരുമാനം ആയിരുന്നു..,11951,186,0,2026-01-08,11:01:50
t8nDzvHehjQ,Xylem SSLC,SSLC Chemistry | Production of Iron | ഇരുമ്പിന്റെ നിർമാണം | Xylem SSLC,14439,700,9,2026-01-07,13:31:08
4DNokAH9RGI,Xylem SSLC,കൊണ്ടോട്ടിയിലെ SSLC വിദ്യാർത്ഥികൾക്ക് ഒരു സന്തോഷ വാര്‍ത്ത!,22292,338,0,2026-01-07,13:00:10
xxnMwhjSw1M,Xylem SSLC,SSLC IT Theory 2026 | Chapter 3: Computer Language | ഇങ്ങനെ പഠിച്ചാൽ Theory Simple ആവും | Xylem SSLC,50963,1996,17,2026-01-07,12:31:46
pn5mw3tBMIc,Xylem SSLC,മാർക്ക് വേണേൽ നന്നായി പഠിക്കണം..,43110,847,1,2026-01-07,12:19:43
mQvWWPfbUu0,Xylem SSLC,SSLC വിദ്യാർഥിയാണോ നിങ്ങൾ?,19844,271,0,2026-01-07,11:31:00
V--d-mC6BK0,Xylem SSLC,Proper ആയിട്ടുള്ള റിവിഷൻ നിങ്ങൾക്ക് എവിടെ നിന്ന് കിട്ടും?,30696,405,0,2026-01-07,11:30:25
hV94ov_To-U,Xylem SSLC,പത്താം ക്ലാസിലാണോ.? ഇതാ ഒരു കിടിലൻ അവസരം..!!| Xylem SSLC,3361,122,1,2026-01-06,15:01:27
4codrKOgqy4,Xylem SSLC,എനിക്ക് പറയാൻ ഉള്ളത് പത്താം ക്ലാസ് വിദ്യാർത്ഥികളോടാണ്.. | Xylem SSLC,7477,361,3,2026-01-06,14:30:05
HGmkxcp7R54,Xylem SSLC,SSLC IT 2026 Chapter 2: Let's Prepare a News Paper പത്രത്താളൊരുക്കാം| പ്രധാനപ്പെട്ട Theory ചോദ്യങ്ങൾ,47230,1756,16,2026-01-06,13:30:20
LJiy6wokoog,Xylem SSLC,SSLC IT Practical 2026 | Chapter 2: Scribus | 7 Mark Questions  | Xylem SSLC,153971,4347,22,2026-01-06,12:30:38
aWoKSNDq-7Y,Xylem SSLC,ഇനിയും വൈകിയിട്ടില്ല!,73622,3390,1,2026-01-06,11:30:01
sJ_zdvBGxNI,Xylem SSLC,SSLC STUDENTS നു HAPPY NEWS !! | Xylem SSLC,40508,2633,3,2026-01-04,15:11:26
zW0TcFfWSbk,Xylem SSLC,SSLC IT Practical | Chapter 1 Inkscape | 3 Model Questions 7 Mark ഉറപ്പിക്കാം... | Xylem SSLC,212667,6488,27,2026-01-03,12:31:37
eH0mXvCmDxI,Xylem SSLC,SSLC IT | Important Theory Questions Chapter 1 - Design Factory ഈ ചോദ്യങ്ങൾ പഠിക്കാതെ പോവരുത്...,90757,4280,19,2026-01-03,11:30:41
Goz7Nhk4HRE,Xylem SSLC,SSLC Maths 2026 | Chapter 1 : Full Chapter Revision | Xylem SSLC,144435,5920,120,2026-01-01,16:36:42
C7Pr04sOM5I,Xylem SSLC,ഇതാവണം നിങ്ങളുടെ New Year Plan!,6650,493,3,2026-01-01,13:30:12
4KEXvqtvDwA,Xylem SSLC,പുതിയ വർഷം പുതിയ തുടക്കം !💚,18574,670,0,2026-01-01,11:01:10
z78YO8sO9Gw,Xylem SSLC,SSLC  FULL A+ നേടണോ? ENDGAME BATCH നാളെ തുടങ്ങുന്നു | Xylem SSLC,23117,1217,24,2025-12-31,14:09:57
-9jUSSV7Q3c,Xylem SSLC,SSLC BIOLOGY : അടുത്ത പരീക്ഷ TOUGH ആവാതിരിക്കാൻ എന്തൊക്കെ ശ്രദ്ധിക്കണം ? | Xylem SSLC,8140,422,2,2025-12-31,13:30:00
qIhtSrG8YhQ,Xylem SSLC,ഇതാ നിങ്ങൾക്കൊരു Happy News !!  | Xylem SSLC,17292,415,0,2025-12-31,12:59:43
6GfVy6fKJyw,Xylem SSLC,SSLC PUBLIC EXAM. ഇനി പഠിച്ചാലും FULL A+ നേടാൻ സാധിക്കുമോ ? | Xylem SSLC,16459,883,2,2025-12-31,12:30:09
0Rmact8vETo,Xylem SSLC,ഒരു നിമിഷം ഒന്ന് ചിന്തിക്കൂ | 64 Days  ആണ് ഇനി Exam ന് ഉള്ളത്! | Xylem SSLC,11575,405,27,2025-12-30,12:30:02
TOkxhyXhLz8,Xylem SSLC,XYLEM സ്റ്റുഡൻസിന്റെ EXAM PREPARATION JOURNEY !!!,12902,210,1,2025-12-30,12:00:55
duRk5Ojvdxg,Xylem SSLC,XYLEM എങ്ങനെ വ്യത്യസ്തമാവുന്നു ....,11180,192,0,2025-12-30,11:30:47
TyGQgQXcSV0,Xylem SSLC,XYLEM HYBRID SYSTEM എത്ര EFFECTIVE ആണ് ....,20123,197,0,2025-12-30,10:56:57
h2Ooc8JWqIg,Xylem SSLC,SSLC കുട്ടികൾ അറിഞ്ഞിരിക്കേണ്ട 3 കാര്യങ്ങൾ !! | Xylem SSLC,19235,1180,4,2025-12-29,13:01:33
5r3cdpJyJUU,Xylem SSLC,Xylem Awards 2025 ✨ Moments That Shine 💫,27946,419,0,2025-12-29,11:51:41
1tQXOFMdToQ,Xylem SSLC,JOB KURIAN XYLEM AWARDS വേദിയിൽ 🔥,35257,672,0,2025-12-29,09:42:54
3IJ0EDZR-dg,Xylem SSLC,അതിഗംഭീരം 🔥,3420,129,1,2025-12-29,09:23:51
DCjmKWaRm1k,Xylem SSLC,സൈലം അവാർഡ്‌സ് വേദിയിൽ നിന്നും GAYATHRI !!,11400,161,0,2025-12-29,07:53:58
